Time	Nr	Camera	Camera	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	ST1	ST1	ST2	ST2	ST3	ST3	ST4	ST4	ST5	ST5	ST6	ST6	ST7	ST7	ST8	ST8	ST9	ST9	ST10	ST10
Time	Pic	Exposure	Temprature	Sample Translation	Sample Rotation	Shutter	Pinhole	X_Tilt	Y_Tilt	Y SCAN	Sample Height	CCD	Translation ANA	ROT MONO	ROT ANA	TRA Mono	G0-Rotation	G1_Translation	2_Sample_Translation	2_Sample_Rotation	G2-Tilt	G0_Trans	Beam_B	X_Tilt	Y_Tilt	Beam_R	Beam_L	Beam_T	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current
H:M%	FF_x5_0001	15.0000	-50.31	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	0.000000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.513603	0.225275	0.511661	0.223009	0.508746	0.223009	0.572858	0.197752	-0.034262	0.227542	0.593257	0.162459	0.308640	0.228837	0.363038	0.282587	0.604914	0.189334
H:M%	FF_x5_0002	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	0.109000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	-0.000088	0.515546	0.225599	0.513603	0.223656	0.508746	0.223009	0.574801	0.199048	-0.034262	0.227866	0.589372	0.161811	0.305725	0.227866	0.361095	0.281616	0.602000	0.188039
H:M%	FF_x5_0003	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	0.218000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.515546	0.224951	0.513603	0.223332	0.508746	0.223332	0.573830	0.198724	-0.033290	0.227542	0.592286	0.162135	0.306697	0.228189	0.364980	0.282587	0.602971	0.189010
H:M%	FF_x5_0004	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	0.218000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	-0.000088	0.514575	0.225275	0.512632	0.223332	0.508746	0.222685	0.572858	0.198724	-0.033290	0.227866	0.593257	0.163106	0.309611	0.228837	0.364980	0.282264	0.604914	0.189981
H:M%	FF_x5_0005	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	0.436500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.514575	0.225599	0.513603	0.223009	0.508746	0.223009	0.574801	0.198400	-0.034262	0.227866	0.593257	0.162782	0.308640	0.228837	0.364009	0.282264	0.604914	0.189010
H:M%	FF_x5_0006	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	0.545500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	-0.000088	0.514575	0.224951	0.513603	0.223332	0.509718	0.223009	0.572858	0.198400	-0.035233	0.226894	0.590343	0.161811	0.305725	0.227866	0.362066	0.282264	0.602000	0.189010
H:M%	FF_x5_0007	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	0.654500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.014308	0.000236	0.514575	0.224951	0.512632	0.223980	0.509718	0.223009	0.572858	0.198400	-0.034262	0.227866	0.593257	0.162459	0.308640	0.228189	0.362066	0.281616	0.602971	0.189010
H:M%	FF_x5_0008	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	0.763500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.014308	0.000560	0.515546	0.225275	0.512632	0.223656	0.508746	0.222685	0.571887	0.197752	-0.032319	0.227218	0.590343	0.162135	0.305725	0.227542	0.361095	0.281940	0.601029	0.188362
H:M%	FF_x5_0009	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	0.872500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.513603	0.224951	0.513603	0.223332	0.510689	0.223332	0.573830	0.198724	-0.032319	0.227866	0.592286	0.163106	0.307668	0.228837	0.364009	0.282587	0.604914	0.189010
H:M%	FF_x5_0010	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	0.982000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.514575	0.225275	0.512632	0.223009	0.510689	0.223009	0.572858	0.198400	-0.034262	0.226894	0.591315	0.161811	0.305725	0.227866	0.361095	0.281616	0.601029	0.188362
H:M%	FF_x5_0011	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	1.091000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.514575	0.225599	0.512632	0.223332	0.508746	0.222685	0.572858	0.198076	-0.035233	0.227218	0.592286	0.162782	0.307668	0.228513	0.364009	0.282587	0.602971	0.189658
H:M%	FF_x5_0012	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	10.000000	0.000000	-0.060000	1.200000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	-0.000088	0.513603	0.225275	0.513603	0.223332	0.509718	0.223009	0.572858	0.199371	-0.033290	0.227866	0.593257	0.162459	0.309611	0.228837	0.365952	0.282587	0.603943	0.189334
